time_s,phase,ambient_temperature_K,relative_humidity_pct,pressure_Pa,altitude_m,tas_ms,thrust_N,propulsive_power_kW
82.000,TO,282.777,73.527,94400.547,593.039,81.800,37630.891,3078.211
83.000,TO,282.777,73.527,94318.534,600.271,81.800,37630.891,3078.211
84.000,TO,282.777,73.527,94236.578,607.504,81.800,37630.891,3078.211
85.000,TO,282.777,73.527,94154.680,614.736,81.800,37630.891,3078.211
86.000,TO,282.777,73.527,94072.840,621.968,81.800,37630.891,3078.211
87.000,TO,282.777,73.527,93991.057,629.200,81.800,37630.891,3078.211
88.000,TO,282.777,73.527,93909.332,636.432,81.800,37630.891,3078.211
89.000,TO,282.777,73.527,93827.664,643.665,81.800,37630.891,3078.211
90.000,TO,282.777,73.527,93746.054,650.897,81.800,37630.891,3078.211
91.000,TO,282.777,73.527,93664.502,658.129,81.800,37630.891,3078.211
92.000,TO,282.777,73.527,93583.006,665.361,81.800,37630.891,3078.211
93.000,TO,282.777,73.527,93501.569,672.593,81.800,37630.891,3078.211
94.000,TO,282.777,73.527,93420.188,679.826,81.800,37630.891,3078.211
95.000,TO,282.777,73.527,93338.865,687.058,81.800,37630.891,3078.211
96.000,TO,282.777,73.527,93257.600,694.290,81.800,37630.891,3078.211
97.000,TO,282.777,73.527,93176.391,701.522,81.800,37630.891,3078.211
98.000,TO,282.777,73.527,93095.240,708.754,81.800,37630.891,3078.211
99.000,TO,282.777,73.527,93014.146,715.986,81.800,37630.891,3078.211
100.000,TO,282.777,73.527,92933.110,723.219,81.800,37630.891,3078.211
101.000,TO,282.777,73.527,92852.130,730.451,81.800,37630.891,3078.211
102.000,TO,282.777,73.527,92771.208,737.683,81.800,37630.891,3078.211
103.000,TO,282.777,73.527,92690.343,744.915,81.800,37630.891,3078.211
104.000,TO,282.777,73.527,92609.535,752.147,81.800,37630.891,3078.211
105.000,TO,282.777,73.527,92528.784,759.380,81.800,37630.891,3078.211
106.000,TO,282.777,73.527,92448.089,766.612,81.800,37630.891,3078.211
107.000,TO,282.777,73.527,92444.180,766.962,81.823,37620.253,3078.211
108.000,TO,282.777,73.527,92432.629,767.998,81.892,37588.850,3078.211
109.000,TO,282.777,73.527,92413.701,769.695,82.004,37537.501,3078.211
110.000,TO,282.777,73.527,92387.663,772.031,82.158,37467.081,3078.211
111.000,TO,282.777,73.527,92354.785,774.981,82.352,37378.512,3078.211
112.000,TO,282.777,73.527,92315.334,778.521,82.586,37272.756,3078.211
113.000,TO,282.777,73.527,92269.582,782.629,82.857,37150.809,3078.211
114.000,TO,282.777,73.527,92217.798,787.280,83.164,37013.686,3078.211
115.000,TO,282.777,73.527,92160.254,792.451,83.505,36862.421,3078.211
116.000,TO,282.777,73.527,92097.222,798.118,83.879,36698.053,3078.211
117.000,TO,282.777,73.527,92028.972,804.258,84.285,36521.624,3078.211
118.000,TO,282.777,73.527,91955.777,810.846,84.719,36334.172,3078.211
119.000,TO,282.777,73.527,91877.909,817.860,85.182,36136.722,3078.211
120.000,TO,282.777,73.527,91795.640,825.276,85.672,35930.285,3078.211
121.000,TO,282.777,73.527,91709.240,833.070,86.186,35715.849,3078.211
122.000,TO,282.777,73.527,91618.982,841.218,86.724,35494.382,3078.211
123.000,TO,282.777,73.527,91525.136,849.697,87.283,35266.820,3078.211
124.000,TO,282.777,73.527,91427.971,858.483,87.863,35034.072,3078.211
125.000,TO,282.777,73.527,91327.759,867.553,88.462,34797.014,3078.211
126.000,TO,282.777,73.527,91224.768,876.883,89.078,34556.486,3078.211
127.000,TO,282.777,73.527,91119.266,886.449,89.709,34313.294,3078.211
128.000,TO,282.777,73.527,91011.520,896.228,90.354,34068.209,3078.211
129.000,TO,282.777,73.527,90901.798,906.195,91.012,33821.963,3078.211
130.000,TO,282.777,73.527,90790.365,916.328,91.681,33575.253,3078.211
131.000,TO,282.777,73.527,90677.486,926.603,92.359,33328.739,3078.211
132.000,TO,282.777,73.527,90563.424,936.996,93.045,33083.046,3078.211
133.000,TO,282.777,73.527,90448.443,947.484,93.737,32838.763,3078.211
134.000,TO,282.777,73.527,90332.804,958.042,94.434,32596.447,3078.211
135.000,TO,282.777,73.527,90216.768,968.648,95.134,32356.619,3078.211
136.000,CL,264.742,56.648,90100.595,979.277,95.835,28283.277,2710.539
137.000,CL,264.742,56.648,89984.543,989.907,96.537,28077.751,2710.539
138.000,CL,264.742,56.648,89868.869,1000.512,97.237,27875.638,2710.539
139.000,CL,264.742,56.648,89753.831,1011.071,97.934,27677.295,2710.539
140.000,CL,264.742,56.648,89639.683,1021.558,98.626,27483.058,2710.539
141.000,CL,264.742,56.648,89526.680,1031.951,99.312,27293.242,2710.539
142.000,CL,264.742,56.648,89415.074,1042.226,99.990,27108.145,2710.539
143.000,CL,264.742,56.648,89305.120,1052.359,100.659,26928.044,2710.539
144.000,CL,264.742,56.648,89197.066,1062.327,101.316,26753.202,2710.539
145.000,CL,264.742,56.648,89091.165,1072.106,101.962,26583.869,2710.539
146.000,CL,264.742,56.648,88987.666,1081.672,102.593,26420.280,2710.539
147.000,CL,264.742,56.648,88886.817,1091.002,103.209,26262.659,2710.539
148.000,CL,264.742,56.648,88788.866,1100.071,103.807,26111.222,2710.539
149.000,CL,264.742,56.648,88694.061,1108.858,104.387,25966.176,2710.539
150.000,CL,264.742,56.648,88602.649,1117.337,104.947,25827.721,2710.539
151.000,CL,264.742,56.648,88514.874,1125.485,105.485,25696.051,2710.539
152.000,CL,264.742,56.648,88430.984,1133.279,105.999,25571.359,2710.539
153.000,CL,264.742,56.648,88351.223,1140.694,106.488,25453.835,2710.539
154.000,CL,264.742,56.648,88275.836,1147.708,106.951,25343.666,2710.539
155.000,CL,264.742,56.648,88205.068,1154.297,107.386,25241.043,2710.539
156.000,CL,264.742,56.648,88139.164,1160.437,107.791,25146.158,2710.539
157.000,CL,264.742,56.648,88078.368,1166.104,108.165,25059.208,2710.539
158.000,CL,264.742,56.648,88022.925,1171.275,108.507,24980.394,2710.539
159.000,CL,264.742,56.648,87973.079,1175.926,108.814,24909.926,2710.539
160.000,CL,264.742,56.648,87929.078,1180.034,109.085,24848.021,2710.539
161.000,CL,264.742,56.648,87891.165,1183.574,109.318,24794.910,2710.539
162.000,CL,264.742,56.648,87859.589,1186.524,109.513,24750.834,2710.539
163.000,CL,264.742,56.648,87834.595,1188.859,109.667,24716.049,2710.539
164.000,CL,264.742,56.648,87816.433,1190.557,109.779,24690.827,2710.539
165.000,CL,264.742,56.648,87805.352,1191.592,109.848,24675.463,2710.539
166.000,CL,264.742,56.648,87801.603,1191.943,109.871,24670.267,2710.539
167.000,CL,264.742,56.648,87724.751,1199.130,109.871,24670.267,2710.539
168.000,CL,264.742,56.648,87647.954,1206.316,109.871,24670.267,2710.539
169.000,CL,264.742,56.648,87571.211,1213.503,109.871,24670.267,2710.539
170.000,CL,264.742,56.648,87494.523,1220.689,109.871,24670.267,2710.539
171.000,CL,264.742,56.648,87417.889,1227.876,109.871,24670.267,2710.539
172.000,CL,264.742,56.648,87341.310,1235.062,109.871,24670.267,2710.539
173.000,CL,264.742,56.648,87264.785,1242.249,109.871,24670.267,2710.539
174.000,CL,264.742,56.648,87188.314,1249.436,109.871,24670.267,2710.539
175.000,CL,264.742,56.648,87111.897,1256.622,109.871,24670.267,2710.539
176.000,CL,264.742,56.648,87035.535,1263.809,109.871,24670.267,2710.539
177.000,CL,264.742,56.648,86959.227,1270.995,109.871,24670.267,2710.539
178.000,CL,264.742,56.648,86882.973,1278.182,109.871,24670.267,2710.539
179.000,CL,264.742,56.648,86806.773,1285.369,109.871,24670.267,2710.539
180.000,CL,264.742,56.648,86730.627,1292.555,109.871,24670.267,2710.539
181.000,CL,264.742,56.648,86654.536,1299.742,109.871,24670.267,2710.539
182.000,CL,264.742,56.648,86578.498,1306.928,109.871,24670.267,2710.539
183.000,CL,264.742,56.648,86502.515,1314.115,109.871,24670.267,2710.539
184.000,CL,264.742,56.648,86426.585,1321.302,109.871,24670.267,2710.539
185.000,CL,264.742,56.648,86350.710,1328.488,109.871,24670.267,2710.539
186.000,CL,264.742,56.648,86274.888,1335.675,109.871,24670.267,2710.539
187.000,CL,264.742,56.648,86199.121,1342.861,109.871,24670.267,2710.539
188.000,CL,264.742,56.648,86123.407,1350.048,109.871,24670.267,2710.539
189.000,CL,264.742,56.648,86047.747,1357.235,109.871,24670.267,2710.539
190.000,CL,264.742,56.648,85972.141,1364.421,109.871,24670.267,2710.539
191.000,CL,264.742,56.648,85896.589,1371.608,109.871,24670.267,2710.539
192.000,CL,264.742,56.648,85821.090,1378.794,109.871,24670.267,2710.539
193.000,CL,264.742,56.648,85745.645,1385.981,109.871,24670.267,2710.539
194.000,CL,264.742,56.648,85670.254,1393.167,109.871,24670.267,2710.539
195.000,CL,264.742,56.648,85594.917,1400.354,109.871,24670.267,2710.539
