icao24,aircraft_type,operator,n_flights,analysis_period_start,analysis_period_end,mission_duration_mean_min,mission_duration_median_min,mission_duration_std_min,mission_distance_mean_km,mission_distance_median_km,mission_distance_std_km
46d2f2,ATR 72-600,Sky Express,4902,2024-01-15,2026-01-04,33.039,32.033,15.919,268.149,268.015,77.544
4cae87,ATR 72-600,FedEx,634,2024-04-11,2026-02-06,90.981,92.200,25.259,527.932,523.511,121.050
